CPI序号,波位号,时间戳(ms),帧间隔(ms),目标数,有效点迹数,宽脉冲数,窄脉冲数,最小距离(m),最大距离(m),最小速度(m/s),最大速度(m/s),正高度点数,负高度点数(地杂波)
1,15,898140,0,4,4,2,2,2060.4,5014.9,-39.59,2.18,3,1
2,16,898304,164,3,3,1,2,380.6,3308.0,-24.03,49.97,2,1
3,0,898468,164,2,2,1,1,2228.4,8824.8,5.73,9.01,2,0
4,1,898632,164,1,1,1,0,2753.7,2753.7,-39.86,-39.86,1,0
5,2,898796,164,1,1,0,1,1094.8,1094.8,-11.74,-11.74,1,0
6,3,898960,164,2,2,0,2,960.2,1095.8,-11.74,5.46,2,0
7,4,899124,164,16,16,15,1,1339.1,11439.3,-64.16,12.29,12,4
8,5,899288,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
9,6,899452,164,1,1,1,0,11490.6,11490.6,-3.55,-3.55,0,1
10,7,899616,164,10,10,6,4,1008.2,11490.5,-51.88,1.37,4,6
11,8,899780,164,2,2,2,0,2057.6,5629.8,-122.17,0.82,1,1
12,9,899944,164,5,5,4,1,1335.4,10147.4,-135.74,-1.09,4,1
13,10,900108,164,2,2,1,1,1125.1,3451.7,-6.01,6.01,2,0
14,11,900272,164,1,1,1,0,3978.2,3978.2,-5.46,-5.46,1,0
15,12,900436,164,2,2,1,1,1915.5,3955.7,-3.55,-2.46,2,0
16,13,900600,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
17,14,900764,164,2,2,1,1,1271.2,2585.6,-1.91,1.09,0,2
18,15,900928,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
19,16,901092,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
20,0,901256,164,1,1,1,0,8802.4,8802.4,9.01,9.01,0,1
21,1,901420,164,1,1,1,0,4242.5,4242.5,17.75,17.75,1,0
22,2,901584,164,1,1,0,1,1124.1,1124.1,-11.74,-11.74,1,0
23,3,901748,164,1,1,0,1,1124.8,1124.8,-11.74,-11.74,1,0
24,4,901912,164,16,16,12,4,1322.5,11439.2,-41.77,41.77,7,9
25,5,902076,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
26,6,902240,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
27,7,902404,164,18,18,11,7,1433.0,10717.8,-32.22,69.90,8,10
28,8,902568,164,3,3,3,0,4671.9,5199.6,-4.37,10.65,2,1
29,9,902732,164,4,4,2,2,1393.5,10624.8,-135.74,-9.28,4,0
30,10,902896,164,5,5,3,2,1072.9,10650.9,-27.85,0.82,4,1
31,11,903060,164,3,3,2,1,358.9,3952.9,-46.96,5.73,2,1
32,12,903224,164,1,1,1,0,2897.6,2897.6,14.74,14.74,1,0
33,13,903388,164,2,2,1,1,1729.6,12424.5,-13.65,2.18,2,0
34,14,903552,164,1,1,0,1,1894.9,1894.9,4.37,4.37,0,1
35,15,903716,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
36,16,903880,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
37,0,904044,164,1,1,1,0,8775.8,8775.8,9.01,9.01,1,0
38,1,904208,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
39,2,904372,164,1,1,0,1,1153.1,1153.1,-11.19,-11.19,1,0
40,3,904536,164,1,1,0,1,1154.6,1154.6,-11.19,-11.19,1,0
41,4,904700,164,17,17,15,2,1314.7,11438.7,-48.05,5.73,7,10
42,5,904864,164,1,1,1,0,2729.3,2729.3,-3.28,-3.28,1,0
43,6,905028,164,1,1,1,0,7148.1,7148.1,8.74,8.74,1,0
44,7,905192,164,18,18,10,8,1433.1,10718.1,-52.15,58.70,8,10
45,8,905356,164,4,4,4,0,2178.4,4674.0,-4.64,22.62,4,0
46,9,905520,164,2,2,2,0,3617.5,4594.4,-140.26,3.28,2,0
47,10,905684,164,6,6,4,2,1169.9,11130.2,-28.67,55.15,6,0
48,11,905848,164,2,2,2,0,3929.3,5059.8,6.01,9.01,2,0
49,12,906012,164,3,3,3,0,2850.5,3690.6,-1.64,46.42,3,0
50,13,906176,164,1,1,1,0,2827.2,2827.2,7.10,7.10,1,0
51,14,906340,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
52,15,906504,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
53,16,906668,164,2,2,2,0,2728.4,3979.3,-5.46,-5.19,2,0
54,0,906832,164,1,1,1,0,8750.5,8750.5,9.01,9.01,1,0
55,1,906996,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
56,2,907160,164,1,1,0,1,1191.3,1191.3,-11.47,-11.47,1,0
57,3,907324,164,1,1,0,1,1193.3,1193.3,-11.47,-11.47,1,0
58,4,907488,164,17,17,15,2,1340.2,11438.8,-28.12,57.06,7,10
59,5,907652,164,1,1,1,0,2682.8,2682.8,-6.01,-6.01,1,0
60,6,907816,164,1,1,1,0,11463.6,11463.6,4.37,4.37,1,0
61,7,907980,164,13,13,10,3,1486.4,10718.7,-54.06,37.13,6,7
62,8,908144,164,2,2,2,0,3353.8,4194.4,0.82,140.26,2,0
63,9,908308,164,1,1,1,0,4170.8,4170.8,140.26,140.26,1,0
64,10,908472,164,7,7,4,3,1123.6,11589.0,-29.49,2.18,6,1
65,11,908636,164,2,2,2,0,4958.3,5033.2,3.28,6.55,2,0
66,12,908800,164,2,2,2,0,2825.5,3930.0,-7.37,10.10,2,0
67,13,908964,164,2,2,2,0,3546.1,10746.0,6.01,64.98,2,0
68,14,909128,164,1,1,1,0,1530.1,1530.1,18.84,18.84,1,0
69,15,909292,164,1,1,0,1,2205.4,2205.4,-0.82,-0.82,0,1
70,16,909456,164,1,1,0,1,1841.2,1841.2,11.19,11.19,0,1
71,0,909620,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
72,1,909784,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
73,2,909948,164,2,2,0,2,761.4,1220.8,-11.74,0.82,1,1
74,3,910112,164,1,1,0,1,1221.5,1221.5,-11.74,-11.74,1,0
75,4,910276,164,18,18,16,2,1315.7,11438.8,-54.61,58.43,7,11
76,5,910440,164,1,1,1,0,10268.6,10268.6,5.73,5.73,1,0
77,6,910604,164,2,2,2,0,7138.1,10223.5,-0.82,1.37,1,1
78,7,910768,164,16,16,11,5,1437.8,11447.0,-47.24,50.24,5,11
79,8,910932,164,1,1,1,0,3808.9,3808.9,135.74,135.74,1,0
80,9,911096,164,3,3,2,1,2112.0,3787.3,-1.09,131.21,1,2
81,10,911260,164,2,2,1,1,1677.2,12095.4,-30.31,2.46,2,0
82,11,911424,164,3,3,2,1,1680.4,5012.8,2.18,7.65,3,0
83,12,911588,164,3,3,3,0,2801.5,5013.3,-6.01,14.74,3,0
84,13,911752,164,2,2,1,1,2160.6,2779.2,-0.82,15.56,1,1
85,14,911916,164,1,1,0,1,1703.9,1703.9,-3.82,-3.82,0,1
86,15,912080,164,1,1,1,0,2658.7,2658.7,1.37,1.37,1,0
87,16,912244,164,1,1,1,0,2658.3,2658.3,-2.18,-2.18,1,0
88,0,912408,164,1,1,1,0,8686.1,8686.1,9.01,9.01,1,0
89,1,912572,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
90,2,912736,164,1,1,0,1,1250.5,1250.5,-11.74,-11.74,1,0
91,3,912900,164,1,1,0,1,1263.7,1263.7,-11.74,-11.74,1,0
92,4,913064,164,14,14,13,1,1319.2,11438.9,-46.14,37.13,7,7
93,5,913228,164,1,1,0,1,786.7,786.7,6.83,6.83,1,0
94,6,913392,164,1,1,0,1,786.8,786.8,7.10,7.10,1,0
95,7,913556,164,13,13,10,3,1506.4,10717.8,-36.31,122.17,6,7
96,8,913720,164,6,6,5,1,1750.4,4771.8,-13.57,52.15,5,1
97,9,913884,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
98,10,914048,164,5,5,4,1,1673.1,12565.2,-31.13,-0.82,5,0
99,11,914212,164,1,1,1,0,2850.9,2850.9,1.64,1.64,1,0
100,12,914376,164,5,5,4,1,1891.7,10672.3,-6.01,66.89,5,0
