序号,波位号,北斗时间戳,时间戳(ms),方位(度),距离(m),俯仰(度),高度(m),径向速度(m/s),信噪比,RCS,宽窄脉冲(0宽1窄),俯仰波束,本波位目标数,是否有效点
1,15,898140,898140,79.2044,2197.68,-0.5161,-19.80,1.0921,29,6.872140e-01,1,0,4,1
2,15,898140,898140,80.3064,5014.91,3.0771,269.20,-8.1911,22,2.388140e+01,0,0,4,1
3,15,898140,898140,80.3033,5008.22,3.4615,302.39,2.1843,23,2.472090e+01,0,1,4,1
4,15,898140,898140,83.0163,2060.38,12.4670,444.79,-39.5904,12,8.614240e-03,1,2,4,1
5,16,898304,898304,88.5136,380.64,0.1867,1.24,-24.0273,17,2.799690e-06,1,0,3,1
6,16,898304,898304,90.4438,3307.96,-0.0933,-5.39,-1.3652,34,6.349350e+01,0,0,3,1
7,16,898304,898304,88.8821,1056.41,9.5761,175.74,49.9658,14,1.372750e-04,1,2,3,1
8,0,898468,898468,358.5860,8824.83,1.4609,225.00,9.0102,17,1.000000e+02,0,0,2,1
9,0,898468,898468,4.1366,2228.42,12.2340,472.21,5.7338,14,2.522130e-02,1,2,2,1
10,1,898632,898632,8.2259,2753.72,5.2808,253.44,-39.8634,14,7.418260e-02,0,1,1,1
11,2,898796,898796,16.8225,1094.84,5.1668,98.60,-11.7406,34,1.677120e-02,1,1,1,1
12,3,898960,898960,18.5065,960.22,8.5601,142.93,5.4607,17,1.184440e-04,1,1,2,1
13,3,898960,898960,17.3911,1095.84,4.7861,91.43,-11.7406,34,1.518020e-02,1,1,2,1
14,4,899124,899124,27.8017,1339.14,-1.6642,-38.89,-0.8191,26,2.334540e-01,1,0,16,1
15,4,899124,899124,25.9894,1458.22,-0.6378,-16.23,-3.8225,20,3.519300e-01,0,0,16,1
16,4,899124,899124,26.8340,2490.09,-0.5006,-21.76,-20.2047,12,5.725480e-01,0,0,16,1
17,4,899124,899124,25.8696,3834.74,0.3904,26.13,-31.6723,8,6.755020e+00,0,0,16,1
18,4,899124,899124,24.6316,3931.20,0.0266,1.82,-0.5461,59,1.000000e+02,0,0,16,1
19,4,899124,899124,26.7274,4050.93,0.4220,29.83,-64.1637,9,1.518840e+01,0,0,16,1
20,4,899124,899124,21.4961,5126.30,0.3228,28.88,8.1911,13,3.587780e+01,0,0,16,1
21,4,899124,899124,23.8918,5879.30,0.0252,2.58,1.9113,28,1.000000e+02,0,0,16,1
22,4,899124,899124,23.7632,5895.09,-0.0790,-8.13,-0.5461,59,1.000000e+02,0,0,16,1
23,4,899124,899124,23.8411,7623.06,0.1919,25.53,5.7338,13,1.000000e+02,0,0,16,1
24,4,899124,899124,25.2979,8006.70,0.1471,20.56,12.2867,14,1.000000e+02,0,0,16,1
25,4,899124,899124,28.8749,9544.57,0.4761,79.30,6.8259,17,1.000000e+02,0,0,16,1
26,4,899124,899124,27.9286,9709.18,0.4324,73.27,5.1877,21,1.000000e+02,0,0,16,1
27,4,899124,899124,24.1006,11439.30,1.0426,208.15,0.5461,53,1.000000e+02,0,0,16,1
28,4,899124,899124,25.7361,2633.55,7.8489,359.64,4.3686,21,2.637680e-01,0,1,16,1
29,4,899124,899124,28.4819,2705.28,5.7988,273.33,-0.8191,18,2.211910e-01,0,1,16,1
30,5,899288,899288,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
31,6,899452,899452,35.8391,11490.60,-0.2584,-51.82,-3.5495,28,1.000000e+02,0,0,1,1
32,7,899616,899616,38.8362,1008.24,-1.6965,-29.85,-0.8191,37,2.188280e-02,1,0,10,1
