轨迹ID,圈号,时间(ms),波位,方位(度),距离(m),俯仰(度),高度(m),径向速度(m/s),SNR,RCS,X(m),Y(m),Z(m)
0,83,1131184,8,43.3982,5152.92,0.9159,82.37,-0.5461,55,1.000000e+02,3539.9,3743.6,82.4
0,83,1131184,8,46.9715,5300.65,1.6068,148.63,-6.5529,25,7.178800e+01,3873.3,3615.5,148.6
0,84,1133972,8,46.2714,5323.30,0.3896,36.19,-7.0990,20,2.611640e+01,3846.6,3679.6,36.2
0,85,1136760,8,45.3133,5345.26,1.3525,126.16,-8.1911,24,3.200970e+01,3799.2,3757.9,126.2
0,87,1142336,8,46.3642,5081.32,0.0202,1.79,-0.5461,55,1.000000e+02,3677.6,3506.5,1.8
0,87,1142336,8,42.3728,5199.47,0.1476,13.40,41.5016,15,5.916250e+00,3504.2,3841.2,13.4
0,88,1145124,8,44.7871,5436.63,1.1397,108.14,-10.1024,24,4.480610e+01,3829.2,3857.8,108.1
0,88,1145124,8,43.3718,4893.76,1.2644,107.98,-11.7406,15,2.880820e+00,3359.9,3556.5,108.0
0,89,1147912,8,44.3505,5465.58,0.9919,94.62,-8.4642,14,7.807240e+00,3820.1,3907.7,94.6
0,90,1150700,8,42.2285,5320.94,1.4913,138.48,10.1024,14,7.467430e+00,3574.9,3938.7,138.5
0,91,1153488,8,42.7753,5200.39,0.7684,69.74,-6.8259,21,3.050160e+01,3531.4,3816.9,69.7
0,92,1156276,8,42.7416,5203.67,1.5340,139.30,2.4573,23,3.710350e+01,3530.4,3820.3,139.3
0,92,1156276,8,43.9894,5440.38,0.4405,41.83,10.6484,21,5.083290e+01,3778.4,3914.1,41.8
0,93,1159064,8,43.1117,4911.91,0.7150,61.30,-7.0990,22,3.626930e+01,3356.7,3585.5,61.3
0,95,1164640,8,48.0866,5153.09,0.3652,32.85,0.8191,36,1.000000e+02,3834.6,3442.2,32.8
0,96,1167592,9,49.1419,5060.42,5.7474,506.77,3.5495,21,1.614960e+01,3808.1,3293.8,506.8
0,97,1170380,9,51.8848,5271.05,4.2968,394.92,-3.0034,17,1.175960e+01,4135.5,3244.4,394.9
0,99,1175792,8,49.0514,5152.17,0.5531,49.73,0.8191,33,1.000000e+02,3891.2,3376.5,49.7
0,99,1175792,8,47.0562,5346.65,0.4222,39.39,-5.4607,25,9.215610e+01,3913.8,3642.5,39.4
0,101,1181368,8,42.3306,5374.93,1.4184,133.04,-4.6416,17,1.187420e+01,3618.4,3972.3,133.0
0,102,1184156,8,42.7033,5249.43,1.3753,125.99,-5.4607,21,2.586520e+01,3559.1,3856.6,126.0
0,104,1189732,8,46.9427,5153.53,0.2641,23.75,0.5461,52,1.000000e+02,3765.5,3518.4,23.8
0,104,1189732,8,42.5054,5395.12,0.8521,80.23,-2.1843,25,9.403170e+01,3644.9,3976.9,80.2
0,104,1189732,8,41.4773,4963.10,0.3951,34.23,8.1911,23,3.619120e+01,3287.1,3718.4,34.2
0,106,1195144,7,40.6489,4912.22,2.4216,207.56,-3.2764,20,1.020410e+01,3197.1,3723.6,207.6
0,106,1195308,8,45.6370,5203.27,1.5949,144.82,4.9147,16,1.421270e+01,3718.5,3636.7,144.8
0,107,1198096,8,41.8517,4984.76,0.8049,70.02,-1.3652,22,2.191950e+01,3325.5,3712.7,70.0
0,107,1198096,8,43.7612,5227.26,1.3968,127.42,-6.2798,21,4.416600e+01,3614.4,3774.2,127.4
0,107,1198096,8,41.2338,5323.80,0.6984,64.89,3.5495,18,1.733610e+01,3508.8,4003.3,64.9
0,108,1200884,8,47.5696,5202.68,0.3549,32.22,-0.5461,51,1.000000e+02,3840.0,3510.2,32.2
0,108,1200884,8,41.9008,5301.83,0.9060,83.83,6.5529,20,2.920650e+01,3540.3,3945.7,83.8
0,108,1200720,7,38.6180,4934.52,0.8603,74.09,-8.1911,16,5.343630e+00,3079.4,3855.0,74.1
0,110,1206296,7,41.2003,4961.51,1.4993,129.82,-6.8259,18,6.238310e+00,3267.0,3731.8,129.8
