Frame,t_ms,Az_deg,El_deg,R_m,V_m_s
38,904372,17.390,4.770,1153.1,10.90
39,904536,17.920,4.260,1154.7,12.00
40,904700,17.960,4.240,1156.5,12.00
41,904864,18.000,4.210,1158.2,12.00
42,905028,18.040,4.190,1160.0,12.00
43,905192,18.080,4.170,1161.7,12.00
44,905356,18.110,4.150,1163.5,12.00
45,905520,18.150,4.130,1165.3,12.00
46,905684,18.190,4.110,1167.0,12.00
47,905848,18.230,4.080,1168.8,12.00
48,906012,18.260,4.060,1170.6,12.00
49,906176,18.300,4.040,1172.3,12.00
50,906340,18.340,4.020,1174.1,12.00
51,906504,18.380,4.000,1175.9,12.00
52,906668,18.410,3.980,1177.6,12.00
53,906832,18.450,3.960,1179.4,12.00
54,906996,18.490,3.940,1181.2,12.00
55,907160,18.020,4.430,1189.4,12.70
56,907324,17.960,4.380,1192.3,12.90
57,907488,17.970,4.380,1194.4,12.90
58,907652,17.980,4.380,1196.5,12.90
59,907816,17.990,4.380,1198.6,12.90
60,907980,18.000,4.380,1200.7,12.90
61,908144,18.010,4.380,1202.8,12.90
62,908308,18.030,4.380,1204.9,12.90
63,908472,18.040,4.380,1207.0,12.90
64,908636,18.050,4.380,1209.1,12.90
65,908800,18.060,4.380,1211.2,12.90
66,908964,18.070,4.380,1213.3,12.90
67,909128,18.080,4.380,1215.4,12.90
68,909292,18.090,4.380,1217.5,12.90
69,909456,18.100,4.380,1219.6,12.90
70,909620,18.110,4.370,1221.7,12.90
71,909784,18.130,4.370,1223.8,12.90
72,909948,17.620,4.400,1222.3,11.90
73,910112,17.290,4.120,1223.0,12.00
74,910276,17.260,4.100,1224.9,12.00
75,910440,17.240,4.090,1226.8,12.00
76,910604,17.210,4.080,1228.7,12.00
77,910768,17.190,4.070,1230.5,12.00
78,910932,17.170,4.060,1232.4,12.00
79,911096,17.140,4.050,1234.3,12.00
80,911260,17.120,4.040,1236.2,12.00
81,911424,17.100,4.030,1238.1,12.00
82,911588,17.080,4.020,1239.9,12.00
83,911752,17.050,4.000,1241.8,12.00
84,911916,17.030,3.990,1243.7,12.00
85,912080,17.010,3.980,1245.6,12.00
86,912244,16.980,3.970,1247.5,12.00
87,912408,16.960,3.960,1249.3,12.00
88,912572,16.940,3.950,1251.2,12.00
89,912736,16.650,3.710,1251.3,12.10
90,912900,16.620,3.690,1253.1,12.10
91,913064,16.590,3.670,1254.9,12.10
92,913228,16.560,3.650,1256.7,12.10
93,913392,16.520,3.630,1258.5,12.10
94,913556,16.490,3.610,1260.3,12.10
95,913720,16.460,3.590,1262.1,12.10
96,913884,16.420,3.570,1263.9,12.10
97,914048,16.390,3.550,1265.7,12.10
98,914212,16.360,3.530,1267.5,12.10
99,914376,16.330,3.510,1269.3,12.10
100,914540,16.290,3.490,1271.1,12.10
101,914704,16.260,3.470,1272.9,12.10
102,914868,16.230,3.450,1274.7,12.10
