时间戳     方位       距离        俯仰       高度         速度
-----------------------------------------------------------------------
898796     16.8225    1094.84     5.1668     98.5955      -11.7406
901584     16.5781    1124.10     4.6226     90.5926      -11.7406
904372     17.3900    1153.14     4.7655     95.8000      -11.1945
907160     17.8621    1191.29     4.5916     95.3669      -11.4676
909948     17.2810    761.44      -2.0855    -27.7093     0.8191
909948     17.3474    1220.83     4.4149     93.9773      -11.7406
912736     16.5076    1250.51     3.5767     78.0131      -11.7406
915524     16.2757    1289.40     2.9023     65.2866      -12.0136
918312     16.4423    1319.06     3.7082     85.3096      -12.0136
918312     15.6393    1322.14     12.4819    285.7570     7.3720
921100     16.1297    1347.30     4.2384     99.5750      -11.7406
921100     13.8787    2993.32     3.5497     185.3270     1.6382
921100     13.1138    1292.76     14.2925    319.1470     8.4642
923888     16.2504    1386.23     3.3937     82.0590      -11.7406
923888     12.7936    1268.46     13.7910    302.3780     8.4642
926676     16.4899    1416.37     2.6461     65.3898      -11.7406
926676     15.4400    1240.38     15.4921    331.3120     7.9181
926676     13.1295    2217.14     27.6656    1029.4400    -178.5170
929464     15.5353    1457.42     4.0842     103.8020     -11.7406
932252     15.9101    1485.21     2.5634     66.4253      -11.7406
935040     16.2381    1513.56     2.8124     74.2648      -11.7406
940616     15.3499    1536.37     4.2007     112.5410     4.9147
940616     18.6560    3804.97     27.7069    1769.1200    -28.7930
940616     17.9912    3806.01     28.6598    1825.4000    -34.5516
943404     16.2021    1623.76     3.1865     90.2589      -12.0136
943404     15.8912    3924.56     27.8976    1836.2700    -51.8274
943404     14.9751    3923.28     28.4756    1870.5600    -51.8274
946192     13.8589    4090.32     27.5350    1890.9200    -63.3446
946192     13.1514    4091.03     27.8190    1909.2100    -63.3446
948980     15.3313    1680.73     3.6558     107.1670     -12.0136
948980     11.4899    4299.93     26.9932    1951.6800    -74.8618
951768     10.5897    907.88      5.4629     86.4320      6.5529
957344     16.5819    8994.06     -0.6238    -97.9122     -7.3720
957344     11.4956    890.54      5.7145     88.6721      7.9181
960132     12.9346    880.11      5.7665     88.4276      8.7372
962920     12.8832    866.58      5.9551     89.9057      -3.8225
962920     11.5401    887.00      6.1016     94.2815      9.5563
965708     13.5282    864.65      5.7922     87.2611      7.6450
968496     15.8513    11684.80    0.3394     69.2105      -3.5495
968496     13.7157    832.89      8.2075     118.9010     9.8293
968496     14.1918    1706.09     2.7865     82.9394      11.1945
971284     14.1438    833.56      7.6088     110.3710     -5.1877
971284     15.1546    2730.18     14.4764    682.4920     4.6416
974072     13.9908    855.02      7.2894     108.4860     -4.6416
974072     17.0886    6349.82     5.2876     585.1680     35.4948
976860     15.1016    841.74      8.7155     127.5480     2.7304
976860     15.5597    840.90      9.3136     136.0900     3.0034
979648     13.0711    858.21      6.3426     94.8086      -2.4573
979648     15.5852    832.40      9.5588     138.2280     10.9215
979648     17.7902    2325.28     14.3831    577.6080     -67.1671
979648     16.3648    2705.25     14.2516    665.9800     4.3686
982436     15.9593    808.73      9.9225     139.3570     3.2764
982436     15.7352    807.71      9.8982     138.8440     3.2764
988012     15.3387    1842.85     3.2871     105.6660     -11.7406
988012     15.0299    816.27      9.1034     129.1480     -3.2764
988012     16.1738    1839.59     3.2446     104.1170     -11.7406
990800     13.4834    831.58      8.1214     117.4770     -4.9147
993588     12.2639    448.14      4.1891     32.7363      -8.4642
993588     12.0366    435.01      3.7094     28.1429      -8.4642
993588     11.6840    854.48      5.8138     86.5548      -9.2833
993588     16.1975    1889.55     2.4877     82.0154      -11.7406
996376     15.0060    1938.17     2.6451     89.4463      -11.7406
999164     15.1309    495.83      2.9100     25.1720      -7.9181
999164     15.1073    1965.07     2.0488     70.2537      -11.7406
999164     15.7346    494.52      3.0785     26.5578      -7.9181
1001952    18.1627    506.55      2.6815     23.6983      -7.9181
1001952    15.1814    1995.85     2.6520     92.3479      -11.7406
1001952    12.9262    932.65      5.7843     93.9970      2.4573
1004740    15.0376    2034.18     1.9926     70.7283      -11.7406
1004740    9.7385     955.32      6.2584     104.1430     -9.5563
1015892    14.0966    10436.70    0.8935     162.7560     0.8191
1015892    14.2731    739.60      8.5012     109.3340     5.1877
1021468    14.8876    10460.20    0.6996     127.7270     -0.8191
1029832    15.8559    1126.88     10.2169    199.8800     1.3652
1038196    12.2691    1778.49     -0.0153    -0.4742      -0.5461
1038196    13.9869    2417.16     2.2146     93.4026      -11.7406
1038196    15.5573    6479.24     0.5625     63.6145      -0.5461
1038196    13.4981    1606.80     8.7468     244.3430     16.3822
1040984    17.3820    670.78      -2.7363    -32.0227     0.5461
1040984    12.2463    1778.21     -0.0411    -1.2757      -0.5461
1040984    15.5463    6479.19     0.5586     63.1683      0.5461
1040984    16.2494    6546.41     0.3506     40.0606      -32.4914
1043772    12.3187    1778.20     -0.0691    -2.1431      -0.5461
1043772    15.5490    6479.23     0.5524     62.4703      -0.5461
1043772    11.2949    7197.75     0.1762     22.1394      -4.6416
1046560    12.2697    1778.27     -0.0535    -1.6607      -0.5461
1046560    13.9161    2514.52     2.2008     96.5609      -11.7406
1046560    15.5423    6479.22     0.5340     60.3872      -0.5461
1049348    12.3046    1778.34     -0.0626    -1.9433      -0.5461
1049348    11.7634    1851.21     0.0337     1.0893       2.4573
1049348    15.5464    6479.11     0.5357     60.5748      -0.5461
1052136    12.3099    1778.19     -0.0845    -2.6226      -0.5461
1052136    13.4278    2585.57     2.3598     106.4610     -11.7406
1052136    15.5537    6479.46     0.5412     61.2062      -0.5461
1054924    12.3142    1778.03     -0.0830    -2.5743      -0.5461
1054924    13.2711    2610.19     1.8211     82.9473      -11.7406
1054924    15.5590    6479.41     0.5598     63.3026      0.5461
1057712    12.2763    1778.13     -0.0530    -1.6434      -0.5461
1057712    11.7827    1848.41     -0.0795    -2.5649      0.8191
1057712    15.4714    6545.62     1.2036     137.4880     -26.4846
1060500    16.7028    739.76      -2.4599    -31.7504     -0.8191
1060500    12.9296    2681.15     1.8728     87.6211      -11.7406
1063288    12.7628    2706.53     2.0753     98.0120      -11.7406
1066076    12.8446    651.09      -1.9147    -21.7538     0.8191
1066076    14.1791    2730.25     1.6252     77.4350      -11.7406
1068864    14.4506    1459.26     -0.5859    -14.9227     1.3652
1068864    14.1743    1892.50     -0.4859    -16.0482     19.6587
1068864    12.5312    2777.71     1.4499     70.2816      -11.7406
1068864    10.2415    7193.51     -0.1091    -13.6981     0.8191
1071652    19.5764    603.33      -1.2008    -12.6437     7.3720
1071652    14.8689    739.09      -2.2883    -29.5096     0.8191
1071652    15.2862    10623.20    1.3602     252.1730     12.8327
1071652    14.7628    7624.37     0.0952     12.6689      -0.8191
1074440    19.6628    578.27      -1.6345    -16.4942     11.7406
1074440    14.4088    622.93      -2.6859    -29.1912     1.0921
1077228    18.5935    550.96      -1.4044    -13.5030     7.3720
1080016    12.7387    646.47      -2.4197    -27.2939     -0.8191
1080016    15.6464    6403.16     0.2133     23.8346      68.8053
1080016    15.6985    6567.40     1.0184     116.7290     -68.8053
1082804    12.2241    620.38      -2.4646    -26.6777     -0.8191
1082804    11.5086    7197.19     1.0468     131.4790     -4.6416
1085592    13.0722    2970.35     1.5576     80.7408      -11.7406
1091168    12.7782    3042.60     1.2824     68.0928      -11.4676
1096744    15.2245    471.67      -1.7959    -14.7819     5.7338
1099532    12.6961    3138.68     1.0160     55.6565      -11.7406
1102320    16.5664    4842.30     19.4552    1612.8200    72.3938
1105108    14.9013    1892.85     0.3783     12.4964      0.8191
1105108    13.1694    4669.26     19.9385    1592.2700    63.3446
1107896    15.1458    4499.32     19.1281    1474.3500    54.2954
1110684    14.3909    1436.84     0.5239     13.1383      -0.8191
1110684    15.0110    4359.13     19.5764    1460.5900    45.2461
1113472    17.3051    4235.31     19.7213    1429.1900    36.1969
1116260    12.6175    3352.35     1.7817     104.2310     -12.0136
1116260    18.4929    4139.32     19.8885    1408.1600    31.6723
1121836    14.0699    3403.29     1.6587     98.5081      -11.7406
1130200    14.5396    1414.13     0.5021     12.3930      0.8191
1130200    12.6450    3520.64     1.0568     64.9315      -12.0136
1138564    14.5676    1556.41     1.3317     36.1705      -0.8191
1141352    11.5306    4265.98     3.5750     266.0060     -40.4095
1144140    12.5583    3689.11     0.0155     0.9987       -12.0136
1146928    12.8792    3713.92     1.1683     75.7262      -12.0136
1149716    17.0251    762.88      -1.7151    -22.8331     -0.8191
1149716    12.5405    3739.50     1.7102     111.6000     -12.0136
1149716    13.8955    403.70      9.9572     69.8045      -43.6859
1152504    17.0556    765.54      -1.8468    -24.6709     0.8191
1152504    12.5821    3785.02     1.0069     66.5102      -11.7406
1155292    15.9215    8995.64     -0.8619    -135.3240    7.0990
1155292    12.6517    3810.18     1.2840     85.3771      -11.7406
1158080    17.1624    742.15      -2.3983    -31.0558     0.8191
1158080    12.3273    3834.72     0.9416     63.0160      -11.7406
1158080    9.9337     7196.46     0.2242     28.1546      -0.8191
1160868    12.9181    3882.70     1.2583     85.2633      -11.7406
1163656    15.2123    6405.41     0.4831     54.0130      19.9317
1166444    14.5567    1557.83     -0.6117    -16.6325     0.8191
1172020    14.9428    4002.46     1.9019     132.8310     -12.0136
1174808    14.6452    1915.54     -0.5802    -19.3980     -0.8191
1177596    14.3335    1557.44     -0.6033    -16.3985     -0.8191
1177596    11.9516    4097.46     0.3397     24.2915      -12.0136
1183172    12.6742    4146.09     0.9666     69.9411      -12.0136
1188748    13.5302    4217.40     1.3193     97.1047      -12.0136
1194324    16.4821    4267.34     2.0164     150.1460     -11.4676
1199900    12.8863    4338.89     1.3847     104.8470     -11.1945
1199900    13.4233    10432.70    0.1170     21.2965      0.8191
1205476    14.6885    4409.97     1.7365     133.6360     -11.7406
1219416    14.3581    1892.37     -0.5600    -18.4964     0.8191
1219416    14.3998    1915.48     -0.5400    -18.0543     -0.8191
1219416    12.7483    4410.50     2.5154     193.5680     8.1911
1222204    10.2122    3067.41     11.1663    594.0270     -1.0921
1224992    14.2715    11804.50    -2.6114    -537.8390    33.5836
1224992    14.0765    4360.37     0.5283     40.2074      12.0136
1227780    11.6961    3088.58     11.2915    604.7420     1.9113
1230568    12.9898    4288.90     0.2533     18.9635      11.7406
1230568    13.1521    3066.48     11.5336    613.1200     4.0956
1233356    14.9180    4265.71     1.0107     75.2420      12.0136
1236144    14.3088    4218.64     2.4410     179.6760     12.0136
1238932    13.0314    4192.41     1.1532     84.3728      12.0136
1241720    13.5871    4145.98     1.7840     129.0730     12.0136
1241720    15.7742    3066.76     10.5506    561.5330     0.8191
1241720    13.6830    9734.86     8.2619     1398.8800    -2.4573
1244508    13.2937    4122.30     1.8322     131.8010     11.7406
1244508    16.0844    3065.98     8.0110     427.2880     0.8191
1247296    13.5408    4096.98     1.9988     142.8940     12.0136
1247296    17.4762    3065.49     7.4080     395.2440     -2.4573
1250084    13.1484    4049.81     1.5962     112.8060     11.7406
1250084    17.3259    3067.51     11.9622    635.7930     -3.0034
1252872    16.4104    649.58      -4.1597    -47.1186     -6.2798
1252872    18.5951    3089.93     10.9730    588.1590     -1.9113
1258448    13.3915    4003.18     1.0669     74.5363      3.2764
1261236    14.1599    4001.34     1.0850     75.7698      7.0990
1264024    13.9153    3978.21     1.7475     121.3140     10.1024
1266812    15.0634    3953.40     0.6240     43.0571      12.0136
1269600    14.5034    1557.31     -0.5345    -14.5279     -0.8191
1269600    13.8072    3906.78     0.9580     65.3196      11.7406
1272388    12.8806    3881.69     1.1129     75.3942      12.0136
1277964    12.7157    3810.28     1.8708     124.3870     12.0136
1280752    13.2435    3763.72     1.2773     83.8961      12.0136
1283540    12.6263    3738.72     1.7886     116.6910     12.0136
1286328    12.9811    3713.50     0.4524     29.3232      11.7406
1289116    14.3393    1894.48     -0.5572    -18.4250     -0.8191
1289116    13.0911    3667.33     1.1572     74.0649      12.0136
1291904    13.5072    3641.99     1.3766     87.4958      12.0136
1294692    13.7858    3616.75     1.3814     87.1892      12.0136
1294692    15.8623    2441.01     7.9081     335.8440     12.0136
1294692    10.8176    12374.90    9.0101     1938.0200    45.0511
1297480    14.2972    1867.76     -0.5231    -17.0517     -21.2969
1297480    13.2756    3570.39     1.2977     80.8587      12.0136
1297480    10.5938    12280.30    8.4658     1807.9100    31.1262
1300268    13.4618    3545.13     1.5627     96.6771      12.0136
1300268    11.2363    12205.30    8.3299     1768.2200    18.8396
1303056    12.9305    3499.28     1.0508     64.1724      12.0136
1303056    11.2153    12157.20    8.5139     1799.8600    8.4642
1303056    10.7150    12179.80    9.1883     1944.8500    9.0102
1305844    13.1325    3473.51     1.4721     89.2341      12.0136
1305844    12.2115    12158.40    7.9665     1685.0800    -0.5461
1308632    13.6623    3448.63     1.1298     68.0001      12.0136
1308632    12.6532    12163.70    8.5975     1818.3900    -9.0102
1311420    14.6787    1892.95     -0.5040    -16.6510     21.8430
1311420    12.9349    3401.91     1.0492     62.2925      12.0136
1311420    13.6501    12191.20    8.8181     1868.8900    -16.3822
1314208    13.6502    3377.49     1.1069     65.2455      12.0136
1314208    15.8093    1058.47     10.3396    189.9760     6.5529
1314208    13.9041    12257.10    9.2919     1979.0800    -23.2081
1316996    13.2092    3331.41     0.5803     33.7387      12.0136
1316996    14.0590    2465.12     7.7775     333.5960     7.0990
1316996    13.6657    12330.60    8.6694     1858.6400    -29.7610
1319784    13.2879    3305.66     1.4751     85.0938      12.0136
1322572    13.4171    667.07      -2.1545    -25.0775     0.8191
1322572    13.6097    3280.87     1.0563     60.4814      12.0136
1322572    15.2149    12524.20    9.3290     2030.2000    -39.8634
1325360    12.7960    642.96      -2.1677    -24.3198     0.8191
1325360    13.0588    3234.10     0.9491     53.5675      12.0136
1325360    15.5182    12641.60    5.9887     1318.9200    -43.9590
